% This files stores the screen order of the songs for each user.
% In experiment 2, 3, and 4, the songs are sorted by current number of downloads.
% Ties are broken randomly for each user.
% In experiment 1 the songs are ordered randomly for each user.
% The first column is the user id and then the next 48 columns are the song ids.
% Created by Matt Salganik on 09-Jan-2007
10,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,123111,440341,646341,744101,765447,792647,806126,5014503,7814573,777561,806122,225647,3124513,241124,100102,311089,994601,781123,2814575,3123313,865431,306121,165411,911789,641126,744601,411241,595655,911249,523645,7014523,946646,4004513,846626,592645,395650,331122,2814479
11,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,123111,440341,646341,744101,765447,792647,806126,7814573,5014503,777561,225647,806122,100102,3124513,241124,311089,994601,2814575,781123,306121,3123313,641126,911789,744601,595655,865431,411241,165411,592645,395650,4004513,946646,7014523,911249,523645,2814479,331122,846626
20,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,123111,440341,646341,744101,765447,792647,806126,5014503,7814573,777561,225647,806122,241124,3124513,100102,994601,311089,2814575,781123,865431,165411,3123313,306121,744601,911789,641126,595655,411241,911249,4004513,523645,946646,331122,592645,846626,395650,7014523,2814479
36,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,123111,440341,646341,744101,765447,792647,806126,7814573,5014503,777561,225647,806122,3124513,241124,100102,311089,994601,781123,2814575,641126,911789,946646,165411,744601,7014523,411241,865431,595655,306121,3123313,331122,395650,911249,4004513,846626,592645,2814479,523645
38,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,440341,123111,646341,744101,765447,792647,806126,5014503,7814573,777561,225647,806122,3124513,241124,100102,994601,311089,641126,781123,2814575,865431,595655,306121,165411,911789,7014523,744601,523645,946646,4004513,411241,3123313,911249,331122,2814479,846626,592645,395650
51,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,440341,123111,646341,744101,765447,792647,806126,7814573,5014503,777561,225647,806122,100102,241124,3124513,311089,994601,781123,2814575,641126,523645,946646,411241,3123313,306121,595655,744601,165411,7014523,865431,4004513,911789,395650,592645,911249,2814479,331122,846626
53,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,123111,440341,646341,744101,765447,792647,806126,7814573,5014503,777561,225647,806122,3124513,100102,241124,994601,311089,781123,641126,2814575,523645,595655,306121,865431,4004513,3123313,911789,411241,7014523,946646,165411,744601,592645,2814479,395650,331122,846626,911249
54,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,440341,123111,646341,744101,765447,792647,806126,7814573,5014503,777561,225647,806122,100102,3124513,241124,311089,994601,641126,781123,2814575,306121,7014523,4004513,911789,595655,411241,865431,523645,3123313,165411,744601,946646,395650,911249,846626,592645,331122,2814479
64,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,440341,123111,646341,744101,765447,792647,806126,5014503,7814573,777561,225647,806122,241124,100102,3124513,311089,994601,641126,2814575,781123,306121,911789,744601,865431,523645,165411,946646,7014523,3123313,411241,4004513,595655,395650,911249,331122,846626,592645,2814479
65,131405,144102,165444,326122,501405,881121,995601,995651,4123311,8814579,123111,440341,646341,744101,765447,792647,806126,7814573,5014503,777561,225647,806122,100102,241124,3124513,994601,311089,781123,641126,2814575,306121,911789,744601,595655,165411,411241,946646,4004513,865431,3123313,7014523,523645,592645,331122,395650,2814479,911249,846626
