% This file contains the download counts for the songs from groups.
% These counts are the intial conditions for experiment 4.
% The first column is the song ID
% and the next columns are the downloads in world 1 to 4.
100102, 13, 13, 13, 0
123111, 10, 31, 31, 0
131405, 9, 128, 128, 0
144102, 9, 83, 83, 0
165411, 17, 10, 10, 0
165444, 9, 81, 81, 0
225647, 12, 14, 14, 0
241124, 13, 13, 13, 0
2814479, 83, 9, 9, 0
2814575, 14, 11, 11, 0
306121, 26, 10, 10, 0
311089, 14, 12, 12, 0
3123313, 27, 10, 10, 0
3124513, 12, 13, 13, 0
326122, 9, 66, 66, 0
331122, 36, 9, 9, 0
395650, 39, 9, 9, 0
4004513, 45, 9, 9, 0
411241, 18, 10, 10, 0
4123311, 9, 36, 36, 0
440341, 10, 30, 30, 0
501405, 9, 52, 52, 0
5014503, 10, 17, 17, 0 
523645, 48, 9, 9, 0
592645, 128, 9, 9, 0
595655, 17, 10, 10, 0
641126, 22, 10, 10, 0
646341, 10, 27, 27, 0
7014523, 66, 9, 9, 0
744101, 10, 26, 26, 0
744601, 31, 10, 10, 0
765447, 10, 23, 23, 0
777561, 11, 16, 16, 0
781123, 16, 11, 11, 0
7814573, 10, 17, 17, 0
792647, 10, 22, 22, 0
806122, 11, 14, 14, 0
806126, 10, 18, 18, 0
846626, 35, 9, 9, 0
865431, 23, 10, 10, 0
881121, 9, 48, 48, 0
8814579, 9, 35, 35, 0
911249, 81, 9, 9, 0
911789, 30, 10, 10, 0
946646, 52, 9, 9, 0
994601, 13, 12, 12, 0
995601, 9, 45, 45, 0
995651, 9, 39, 39, 0
