%This file contains the listening counts for the songs.  It was generated on 20051222.
%The first column is the song ID and the next columns are the listens in world 1 to 9.
%Generated by Matt Salganik.
%Version 2

100102, 20, 26, 19, 88, 44, 52, 62, 21, 138
123111, 23, 18, 24, 21, 20, 22, 36, 27, 126
131405, 23, 14, 29, 22, 33, 52, 26, 102, 134
144102, 22, 43, 45, 58, 28, 37, 26, 80, 129
165411, 28, 71, 21, 61, 39, 62, 36, 18, 148
165444, 26, 19, 22, 21, 26, 15, 22, 16, 106
225647, 211, 127, 28, 247, 121, 26, 62, 75, 159
241124, 115, 53, 70, 107, 76, 40, 35, 50, 146
2814479, 20, 53, 31, 15, 26, 65, 143, 30, 105
2814575, 31, 45, 33, 103, 53, 27, 46, 30, 117
306121, 74, 32, 38, 26, 27, 28, 25, 21, 102
311089, 94, 141, 92, 140, 211, 307, 42, 173, 149
3123313, 65, 198, 160, 29, 99, 26, 131, 214, 109
3124513, 86, 154, 17, 77, 91, 130, 356, 31, 131
326122, 19, 27, 19, 19, 24, 32, 26, 21, 107
331122, 56, 30, 58, 139, 170, 83, 42, 67, 162
395650, 16, 65, 29, 41, 32, 19, 87, 19, 118
4004513, 16, 22, 32, 17, 31, 92, 45, 25, 100
411241, 125, 19, 96, 37, 74, 21, 31, 35, 120
4123311, 23, 53, 34, 22, 26, 21, 23, 74, 108
440341, 26, 38, 21, 25, 18, 13, 18, 17, 86
501405, 26, 30, 27, 27, 34, 32, 41, 32, 137
5014503, 28, 23, 18, 22, 35, 25, 27, 29, 126
523645, 31, 28, 25, 51, 33, 30, 36, 35, 133
592645, 312, 330, 117, 338, 326, 223, 236, 351, 143
595655, 21, 27, 16, 26, 30, 18, 24, 27, 112
641126, 31, 25, 32, 49, 113, 19, 110, 53, 106
646341, 28, 22, 63, 17, 27, 43, 26, 32, 98
7014523, 74, 15, 109, 32, 22, 28, 58, 20, 98
744101, 91, 25, 64, 88, 107, 34, 89, 121, 116
744601, 34, 19, 276, 145, 25, 75, 34, 45, 111
765447, 21, 31, 21, 31, 50, 22, 36, 28, 105
777561, 26, 29, 28, 32, 31, 31, 46, 83, 120
781123, 109, 97, 126, 24, 40, 142, 82, 23, 120
7814573, 19, 30, 71, 17, 24, 37, 45, 17, 95
792647, 24, 19, 27, 47, 37, 17, 28, 23, 114
806122, 29, 27, 18, 23, 52, 97, 127, 26, 99
806126, 29, 15, 16, 17, 17, 14, 35, 26, 102
846626, 52, 66, 66, 53, 42, 22, 51, 33, 113
865431, 42, 30, 69, 47, 120, 20, 97, 83, 104
881121, 29, 36, 32, 23, 71, 24, 27, 25, 116
8814579, 49, 77, 27, 30, 61, 37, 43, 31, 164
911249, 52, 15, 30, 53, 22, 17, 83, 32, 109
911789, 32, 20, 31, 31, 22, 27, 21, 19, 114
946646, 42, 20, 34, 32, 31, 22, 38, 27, 96
994601, 40, 33, 26, 32, 23, 27, 26, 39, 98
995601, 29, 27, 20, 64, 29, 23, 32, 24, 105
995651, 36, 46, 25, 29, 26, 24, 37, 21, 89
