100102,34,40,38,162
123111,38,121,117,140
131405,29,286,250,62
144102,28,153,138,69
165411,55,39,39,97
165444,29,187,177,76
225647,56,40,78,167
241124,38,41,40,80
2814479,241,46,50,139
2814575,46,38,41,98
306121,98,57,59,183
311089,44,39,40,99
3123313,124,45,42,146
3124513,46,42,39,118
326122,29,128,132,66
331122,119,47,74,143
395650,131,39,36,102
4004513,150,56,47,153
411241,67,41,41,122
4123311,33,81,72,72
440341,35,76,97,97
501405,29,96,90,43
5014503,28,39,36,44
523645,162,70,91,181
592645,509,115,169,240
595655,60,38,39,97
641126,78,47,39,102
646341,32,52,52,60
7014523,235,72,49,166
744101,28,59,74,77
744601,89,40,37,103
765447,28,78,63,72
777561,31,39,36,52
781123,73,46,43,136
7814573,39,39,43,92
792647,28,37,39,48
806122,28,39,38,77
806126,28,40,38,47
846626,183,119,66,147
865431,85,51,56,117
881121,28,96,80,55
8814579,30,87,66,75
911249,341,102,88,205
911789,126,68,51,160
946646,168,47,102,142
994601,39,41,37,79
995601,28,81,76,51
995651,28,50,48,30
