100102,13,7,35
123111,10,11,49
131405,9,5,19
144102,9,6,19
165411,17,9,39
165444,9,13,26
225647,12,36,52
241124,13,25,29
2814479,83,27,47
2814575,14,11,28
306121,26,48,71
311089,14,14,36
3123313,27,32,42
3124513,12,7,40
326122,9,7,17
331122,36,30,53
395650,39,6,33
4004513,45,34,42
411241,18,12,42
4123311,9,5,22
440341,10,7,33
501405,9,5,12
5014503,10,5,10
523645,48,43,67
592645,128,87,91
595655,17,10,38
641126,22,15,40
646341,10,7,21
7014523,66,25,58
744101,10,15,28
744601,31,7,28
765447,10,14,20
777561,11,7,27
781123,16,22,41
7814573,10,7,24
792647,10,7,12
806122,11,6,25
806126,10,9,23
846626,35,97,53
865431,23,8,38
881121,9,7,19
8814579,9,8,16
911249,81,69,61
911789,30,21,54
946646,52,34,56
994601,13,7,24
995601,9,8,17
995651,9,5,14
