%This file contains the listening counts for the songs.  It was generated on 20051222.
%The first column is the song ID and the next columns are the listens in world 1 to 9.
%Generated by Matt Salganik.
%Version 4

100102, 138, 173, 136, 847
123111, 150, 431, 421, 771
131405, 194, 1191, 1169, 695
144102, 139, 632, 600, 741
165411, 212, 158, 168, 689
165444, 117, 784, 806, 602
225647, 200, 155, 209, 716
241124, 198, 296, 207, 768
2814479, 666, 99, 123, 515
2814575, 207, 177, 168, 632
306121, 330, 152, 125, 651
311089, 172, 140, 174, 676
3123313, 332, 108, 112, 521
3124513, 174, 154, 168, 710
326122, 143, 518, 506, 654
331122, 454, 129, 198, 690
395650, 414, 152, 197, 587
4004513, 452, 140, 156, 564
411241, 254, 135, 148, 629
4123311, 161, 262, 245, 520
440341, 118, 240, 313, 564
501405, 235, 405, 425, 632
5014503, 298, 277, 345, 588
523645, 551, 260, 267, 690
592645, 1281, 270, 440, 739
595655, 267, 155, 167, 609
641126, 309, 146, 161, 580
646341, 129, 189, 187, 546
7014523, 592, 212, 139, 590
744101, 158, 233, 248, 583
744601, 309, 140, 189, 593
765447, 164, 246, 191, 597
777561, 125, 211, 241, 560
781123, 233, 115, 125, 565
7814573, 147, 150, 139, 593
792647, 188, 226, 218, 673
806122, 153, 176, 231, 564
806126, 148, 128, 119, 517
846626, 531, 317, 168, 596
865431, 301, 164, 149, 577
881121, 131, 409, 346, 601
8814579, 173, 348, 271, 644
911249, 904, 276, 199, 596
911789, 392, 170, 136, 555
946646, 667, 201, 381, 732
994601, 202, 193, 222, 704
995601, 220, 387, 343, 608
995651, 397, 268, 237, 568
