100102,15,10,18,40,14,25,37,28,44
123111,18,14,14,14,8,12,18,29,35
131405,7,10,12,9,5,14,14,10,20
144102,11,16,12,16,15,17,16,21,37
165411,9,32,8,18,9,19,23,20,38
165444,7,10,3,9,12,13,8,4,23
225647,38,23,32,25,25,46,44,22,70
241124,14,22,32,19,12,27,35,16,49
2814479,16,14,12,16,42,16,25,19,41
2814575,11,15,13,10,30,12,35,12,28
306121,11,10,12,28,13,17,8,24,27
311089,21,38,20,34,24,31,31,37,58
3123313,45,25,42,25,46,24,22,26,47
3124513,17,38,24,30,22,61,26,26,48
326122,7,8,5,10,7,12,10,6,16
331122,21,44,26,24,27,20,36,40,46
395650,23,9,10,23,17,20,26,20,46
4004513,17,17,11,23,14,14,24,22,28
411241,8,15,8,14,14,24,19,17,32
4123311,11,6,7,8,14,17,13,12,26
440341,9,7,1,7,5,12,9,8,16
501405,9,8,6,9,9,11,14,14,21
5014503,3,10,4,9,5,6,10,9,17
523645,12,10,5,7,8,14,12,18,19
592645,57,81,65,66,68,47,40,44,77
595655,10,17,9,15,10,20,18,10,17
641126,10,25,42,27,12,20,19,20,34
646341,8,12,9,23,9,13,14,10,29
7014523,12,30,19,44,16,16,26,34,37
744101,17,16,27,11,13,38,19,14,31
744601,10,13,17,16,16,17,24,14,29
765447,9,16,8,8,11,10,14,10,28
777561,12,10,9,8,5,8,12,10,21
781123,16,16,17,33,18,34,51,32,50
7814573,6,5,11,17,19,14,15,8,24
792647,5,7,3,2,2,10,9,7,11
806122,9,14,11,16,15,18,16,15,31
806126,7,3,6,21,3,12,17,10,19
846626,25,46,23,18,33,38,22,15,52
865431,17,18,43,25,14,22,27,20,35
881121,4,13,7,14,8,17,14,15,25
8814579,8,14,5,5,10,19,14,9,38
911249,18,28,26,24,34,27,69,20,45
911789,8,13,11,18,16,10,13,10,43
946646,8,14,9,14,12,15,15,12,21
994601,7,4,11,4,6,10,7,8,17
995601,7,8,6,11,6,20,18,9,26
995651,7,0,1,4,2,5,5,3,6
