%This file contains the listening counts for the songs.  It was generated on 20051222.
%The first column is the song ID and the next columns are the listens in world 1 to 9.
%Generated by Matt Salganik.
%Version 3

100102, 57, 48, 337
123111, 78, 71, 343
131405, 89, 74, 291
144102, 84, 57, 274
165411, 72, 59, 276
165444, 51, 84, 248
225647, 64, 191, 276
241124, 88, 176, 321
2814479, 378, 95, 190
2814575, 79, 72, 253
306121, 106, 181, 251
311089, 69, 52, 242
3123313, 103, 131, 199
3124513, 69, 72, 268
326122, 68, 37, 230
331122, 200, 170, 261
395650, 184, 54, 223
4004513, 180, 139, 232
411241, 95, 38, 252
4123311, 56, 42, 212
440341, 92, 33, 238
501405, 79, 95, 234
5014503, 87, 61, 234
523645, 189, 242, 285
592645, 439, 324, 275
595655, 91, 69, 240
641126, 137, 77, 243
646341, 79, 50, 221
7014523, 229, 105, 234
744101, 57, 105, 242
744601, 169, 48, 239
765447, 58, 87, 213
777561, 60, 70, 222
781123, 63, 90, 227
7814573, 54, 56, 211
792647, 139, 94, 257
806122, 57, 49, 222
806126, 49, 47, 206
846626, 145, 458, 236
865431, 111, 56, 225
881121, 110, 46, 208
8814579, 52, 52, 236
911249, 264, 293, 231
911789, 106, 83, 239
946646, 254, 209, 291
994601, 98, 62, 277
995601, 74, 66, 248
995651, 116, 93, 231
